1.4983 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.7032 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.0633 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B3EAD61190>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002B3EB1E5790>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0633 	EXP 	window1: mouseVisible = True
4.0634 	EXP 	window1: mouseVisible = False
4.0634 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.0634 	EXP 	window1: recordFrameIntervals = False
4.1047 	EXP 	window1: recordFrameIntervals = True
4.1221 	WARNING 	t of last frame was 5.05ms (=1/198)
4.1510 	EXP 	Screen (0) actual frame rate measured at 237.80Hz
4.1510 	EXP 	window1: recordFrameIntervals = False
5.8191 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
5.8343 	EXP 	window1: mouseVisible = True
5.8343 	EXP 	window1: mouseVisible = True
5.8426 	EXP 	Created warning = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='warning', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text='Please type up to 5 words.', units='height', win=Window(...), wrapWidth=1)
5.8512 	EXP 	textbox: autoLog = True
5.8512 	EXP 	text: height = 0.05
5.8512 	EXP 	text: height = 0.05
5.8512 	EXP 	text: height = 0.05
5.8512 	EXP 	text: text = 0
5.8512 	EXP 	textbox: autoDraw = True
5.8512 	EXP 	text: autoDraw = True
5.8512 	EXP 	warning: autoDraw = True
5.8595 	EXP 	text: height = 0.05
5.8595 	EXP 	text: height = 0.05
5.8595 	EXP 	text: height = 0.05
5.8595 	EXP 	text: text = 0
5.8643 	EXP 	text: height = 0.05
5.8643 	EXP 	text: height = 0.05
5.8643 	EXP 	text: height = 0.05
5.8643 	EXP 	text: text = 0
5.8716 	EXP 	text: height = 0.05
5.8716 	EXP 	text: height = 0.05
5.8716 	EXP 	text: height = 0.05
5.8716 	EXP 	text: text = 0
5.8763 	EXP 	text: height = 0.05
5.8763 	EXP 	text: height = 0.05
5.8763 	EXP 	text: height = 0.05
5.8763 	EXP 	text: text = 0
5.8841 	EXP 	text: height = 0.05
5.8841 	EXP 	text: height = 0.05
5.8841 	EXP 	text: height = 0.05
5.8841 	EXP 	text: text = 0
5.8888 	EXP 	text: height = 0.05
5.8888 	EXP 	text: height = 0.05
5.8888 	EXP 	text: height = 0.05
5.8888 	EXP 	text: text = 0
5.8965 	EXP 	text: height = 0.05
5.8965 	EXP 	text: height = 0.05
5.8965 	EXP 	text: height = 0.05
5.8965 	EXP 	text: text = 0
5.9009 	EXP 	text: height = 0.05
5.9009 	EXP 	text: height = 0.05
5.9009 	EXP 	text: height = 0.05
5.9009 	EXP 	text: text = 0
5.9081 	EXP 	text: height = 0.05
5.9081 	EXP 	text: height = 0.05
5.9081 	EXP 	text: height = 0.05
5.9081 	EXP 	text: text = 0
5.9123 	EXP 	text: height = 0.05
5.9123 	EXP 	text: height = 0.05
5.9123 	EXP 	text: height = 0.05
5.9123 	EXP 	text: text = 0
5.9201 	EXP 	text: height = 0.05
5.9201 	EXP 	text: height = 0.05
5.9201 	EXP 	text: height = 0.05
5.9201 	EXP 	text: text = 0
5.9249 	EXP 	text: height = 0.05
